Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Average,0.6,occlusion,1.0,1.0,0.9854,0.001082,0.09423,-0.00615,0.002515
42,2,Zeros,0.1,occlusion,1.0,1.0,0.9772,0.005747,0.1096,-0.02148,-0.002629
42,2,Zeros,0.2,occlusion,1.0,1.0,0.9761,-0.001204,0.111,-0.02295,-0.001521
42,2,Zeros,0.3,occlusion,1.0,1.0,0.9759,-0.004283,0.1118,-0.02369,-0.001371
42,2,Zeros,0.4,occlusion,1.0,1.0,0.9761,-0.004963,0.1164,-0.02832,-0.001806
42,2,Zeros,0.5,occlusion,1.0,1.0,0.9761,-0.005093,0.1198,-0.03172,-0.002106
42,2,Zeros,0.6,occlusion,1.0,1.0,0.9761,-0.005066,0.1208,-0.03276,-0.001819
42,2,Average,0.1,retain,1.0,1.0,0.9896,-0.002502,0.08756,0.0005123,0.006943
42,2,Average,0.2,retain,1.0,1.0,0.9872,-0.002982,0.08774,0.0003375,0.007549
42,2,Average,0.3,retain,1.0,1.0,0.9859,-0.002743,0.0886,-0.0005233,0.007076
42,2,Average,0.4,retain,1.0,1.0,0.9854,-0.00247,0.08926,-0.001179,0.006405
42,2,Average,0.5,retain,1.0,1.0,0.9846,-0.001776,0.09056,-0.002482,0.005602
42,2,Average,0.6,retain,1.0,1.0,0.9848,-0.001045,0.09178,-0.003701,0.004551
42,2,Zeros,0.1,retain,1.0,1.0,0.9772,-0.001581,0.1028,-0.01473,-1.101e-06
42,2,Zeros,0.2,retain,1.0,1.0,0.9761,-0.007039,0.1108,-0.02275,0.001668
42,2,Zeros,0.3,retain,1.0,1.0,0.9761,-0.009396,0.1167,-0.02861,0.00131
42,2,Zeros,0.4,retain,1.0,1.0,0.9761,-0.01108,0.1159,-0.02782,0.002463
